### Filename
### ref/Arial-black/numbers-generated.png-ref.txt
1 -0.5862068965517241,0.41379310344827586 1.0 -0.5172413793103449,0.4827586206896552 -0.2641509433962264,0.22641509433962265,-0.5094339622641509 -0.5172413793103449,0.4827586206896552 1.0 0.5384615384615384 0.9811320754716981 1.2623626373626373
2 -0.35714285714285715,0.3333333333333333,-0.30952380952380953 -0.20754716981132076,0.1509433962264151,-0.41509433962264153,0.22641509433962265 1.0 -0.9433962264150944,0.05660377358490566 -0.4523809523809524,0.4523809523809524,-0.09523809523809523 0.22641509433962265,-0.1509433962264151,0.3018867924528302,-0.09433962264150944,0.22641509433962265 0.7884615384615384 0.9811320754716981 1.3137898686679175
3 -0.35714285714285715,0.2857142857142857,-0.35714285714285715 -0.5925925925925926,0.14814814814814814,-0.25925925925925924 -0.35714285714285715,0.2857142857142857,-0.35714285714285715 -0.7222222222222222,0.037037037037037035,-0.24074074074074073 -0.38095238095238093,0.5238095238095238,-0.09523809523809523 0.5740740740740741,-0.18518518518518517,0.24074074074074073 0.7735849056603774 1.0 1.1693511274735389
4 -0.5909090909090909,0.2727272727272727,-0.13636363636363635 -0.6037735849056604,0.22641509433962265,-0.16981132075471697 -0.5909090909090909,0.2727272727272727,-0.13636363636363635 -0.5849056603773585,0.24528301886792453,-0.16981132075471697 -0.09090909090909091,0.29545454545454547,-0.20454545454545456,0.2727272727272727,-0.13636363636363635 1.0 0.8269230769230769 0.9811320754716981 1.1788908765652952
5 -0.16279069767441862,0.7906976744186046,-0.046511627906976744 -0.5471698113207547,0.16981132075471697,-0.2830188679245283 -0.3488372093023256,0.27906976744186046,-0.37209302325581395 -0.7169811320754716,0.03773584905660377,-0.24528301886792453 -0.046511627906976744,0.9302325581395349,-0.023255813953488372 0.22641509433962265,-0.09433962264150944,0.22641509433962265,-0.22641509433962265,0.22641509433962265 0.8076923076923077 0.9811320754716981 1.3333333333333333
6 -0.40476190476190477,0.2619047619047619,-0.3333333333333333 -0.5925925925925926,0.16666666666666666,-0.24074074074074073 -0.38095238095238093,0.2857142857142857,-0.3333333333333333 -0.37037037037037035,0.2777777777777778,-0.35185185185185186 0.9285714285714286,-0.07142857142857142 0.24074074074074073,-0.1111111111111111,0.24074074074074073,-0.18518518518518517,0.2222222222222222 0.7735849056603774 1.0 1.3989875747814082
7 1.0 0.19230769230769232,-0.8076923076923077 -0.21428571428571427,0.3333333333333333,-0.4523809523809524 0.23076923076923078,-0.7692307692307693 -0.40476190476190477,0.30952380952380953,-0.2857142857142857 0.7115384615384616,-0.28846153846153844 0.803921568627451 0.9622641509433962 0.9775227164036346
8 -0.35714285714285715,0.2857142857142857,-0.35714285714285715 -0.6111111111111112,0.14814814814814814,-0.24074074074074073 -0.3333333333333333,0.30952380952380953,-0.35714285714285715 -0.6111111111111112,0.14814814814814814,-0.24074074074074073 -0.09523809523809523,0.8095238095238095,-0.09523809523809523 0.5925925925925926,-0.16666666666666666,0.24074074074074073 0.7735849056603774 1.0 1.4841233317993556
9 -0.3333333333333333,0.2857142857142857,-0.38095238095238093 -0.35185185185185186,0.2777777777777778,-0.37037037037037035 -0.3333333333333333,0.2619047619047619,-0.40476190476190477 -0.24074074074074073,0.16666666666666666,-0.5925925925925926 -0.047619047619047616,0.9523809523809523 -0.018518518518518517,0.24074074074074073,-0.14814814814814814,0.16666666666666666,-0.14814814814814814,0.25925925925925924,-0.018518518518518517 0.7735849056603774 1.0 1.398067188219052
0 -0.38095238095238093,0.2619047619047619,-0.35714285714285715 -0.35185185185185186,0.2962962962962963,-0.35185185185185186 -0.35714285714285715,0.2857142857142857,-0.35714285714285715 -0.35185185185185186,0.2962962962962963,-0.35185185185185186 0.3333333333333333,-0.3333333333333333,0.3333333333333333 0.25925925925925924,-0.48148148148148145,0.25925925925925924 0.7735849056603774 1.0 1.374137137597791
A -0.30357142857142855,0.375,-0.32142857142857145 -0.9807692307692307,0.019230769230769232 0.30357142857142855,-0.39285714285714285,0.30357142857142855 -0.9615384615384616,0.038461538461538464 -0.16071428571428573,0.26785714285714285,-0.14285714285714285,0.26785714285714285,-0.16071428571428573 0.38461538461538464,-0.19230769230769232,0.25,-0.17307692307692307 1.0784313725490196 0.9622641509433962 1.2253119429590018
