### Filename
### ref/Avenir-Black/numbers-generated.png-ref.txt
1 -0.6153846153846154,0.38461538461538464 1.0 -0.6153846153846154,0.38461538461538464 -0.2549019607843137,0.0392156862745098,-0.7058823529411765 -0.6153846153846154,0.38461538461538464 1.0 0.5 0.9615384615384616 1.0656
2 -0.37142857142857144,0.2857142857142857,-0.34285714285714286 -0.21153846153846154,0.17307692307692307,-0.4230769230769231,0.19230769230769232 1.0 -0.23076923076923078,0.07692307692307693,-0.46153846153846156,0.23076923076923078 -0.45714285714285713,0.42857142857142855,-0.11428571428571428 -0.019230769230769232,0.5769230769230769,-0.21153846153846154,0.19230769230769232 0.6666666666666666 0.9807692307692307 1.2756632064590543
3 -0.3783783783783784,0.24324324324324326,-0.3783783783783784 -0.6415094339622641,0.1509433962264151,-0.20754716981132076 -0.35135135135135137,0.2972972972972973,-0.35135135135135137 -0.22641509433962265,0.018867924528301886,-0.5094339622641509,0.018867924528301886,-0.22641509433962265 -0.35135135135135137,0.4864864864864865,-0.16216216216216217 -0.018867924528301886,0.9622641509433962,-0.018867924528301886 0.6923076923076923 1.0 1.143162393162393
4 -0.5128205128205128,0.3076923076923077,-0.1794871794871795 -0.6274509803921569,0.17647058823529413,-0.19607843137254902 -0.5641025641025641,0.2564102564102564,-0.1794871794871795 -0.6078431372549019,0.19607843137254902,-0.19607843137254902 -0.10256410256410256,0.28205128205128205,-0.1794871794871795,0.2564102564102564,-0.1794871794871795 1.0 0.76 0.9615384615384616 1.0978947368421053
5 -0.10810810810810811,0.8378378378378378,-0.05405405405405406 -0.5576923076923077,0.17307692307692307,-0.2692307692307692 -0.35135135135135137,0.24324324324324326,-0.40540540540540543 -0.7307692307692307,0.038461538461538464,-0.23076923076923078 -0.10810810810810811,0.8378378378378378,-0.05405405405405406 0.19230769230769232,-0.15384615384615385,0.2692307692307692,-0.11538461538461539,0.25,-0.019230769230769232 0.7058823529411765 0.9807692307692307 1.2532679738562091
6 -0.4358974358974359,0.358974358974359,-0.20512820512820512 -0.5769230769230769,0.17307692307692307,-0.25 -0.38461538461538464,0.23076923076923078,-0.38461538461538464 -0.5769230769230769,0.17307692307692307,-0.25 -0.05128205128205128,0.8974358974358975,-0.05128205128205128 0.17307692307692307,-0.17307692307692307,0.19230769230769232,-0.23076923076923078,0.21153846153846154,-0.019230769230769232 0.7450980392156863 0.9807692307692307 1.152734778121775
7 1.0 0.19607843137254902,-0.803921568627451 -0.10810810810810811,0.35135135135135137,-0.5405405405405406 0.19607843137254902,-0.803921568627451 -0.4594594594594595,0.32432432432432434,-0.21621621621621623 0.6470588235294118,-0.35294117647058826 0.72 0.9615384615384616 0.9527777777777777
8 -0.3611111111111111,0.2777777777777778,-0.3611111111111111 -0.6415094339622641,0.1509433962264151,-0.20754716981132076 -0.3611111111111111,0.2777777777777778,-0.3611111111111111 -0.6415094339622641,0.1509433962264151,-0.20754716981132076 -0.19444444444444445,0.6111111111111112,-0.19444444444444445 -0.03773584905660377,0.9245283018867925,-0.03773584905660377 0.6730769230769231 1.0 1.408791208791209
9 -0.38461538461538464,0.23076923076923078,-0.38461538461538464 -0.25,0.17307692307692307,-0.5769230769230769 -0.20512820512820512,0.358974358974359,-0.4358974358974359 -0.25,0.17307692307692307,-0.5769230769230769 -0.05128205128205128,0.358974358974359,-0.1794871794871795,0.38461538461538464,-0.02564102564102564 -0.019230769230769232,0.21153846153846154,-0.23076923076923078,0.4230769230769231,-0.11538461538461539 0.7450980392156863 0.9807692307692307 1.1491228070175439
0 -0.38461538461538464,0.23076923076923078,-0.38461538461538464 -0.37735849056603776,0.24528301886792453,-0.37735849056603776 -0.38461538461538464,0.23076923076923078,-0.38461538461538464 -0.37735849056603776,0.24528301886792453,-0.37735849056603776 0.28205128205128205,-0.4358974358974359,0.28205128205128205 -0.018867924528301886,0.2641509433962264,-0.4339622641509434,0.2641509433962264,-0.018867924528301886 0.7307692307692307 1.0 1.2322874493927125
A -0.41509433962264153,0.16981132075471697,-0.41509433962264153 -0.9607843137254902,0.0392156862745098 0.24528301886792453,-0.5283018867924528,0.22641509433962265 -0.9803921568627451,0.0196078431372549 -0.20754716981132076,0.20754716981132076,-0.16981132075471697,0.20754716981132076,-0.20754716981132076 0.3137254901960784,-0.27450980392156865,0.19607843137254902,-0.21568627450980393 1.04 0.9615384615384616 0.9476923076923077
