### Filename
### ref/Courier/numbers-generated.png-ref.txt
1 -0.4230769230769231,0.19230769230769232,-0.38461538461538464 -0.9111111111111111,0.08888888888888889 -0.038461538461538464,0.9615384615384616 -0.9333333333333333,0.044444444444444446,-0.022222222222222223 -0.4230769230769231,0.19230769230769232,-0.38461538461538464 -0.9111111111111111,0.08888888888888889 0.5681818181818182 0.9777777777777777 0.6445454545454545
2 -0.3793103448275862,0.27586206896551724,-0.3448275862068966 -0.2,0.15555555555555556,-0.4666666666666667,0.15555555555555556,-0.022222222222222223 -0.034482758620689655,0.9310344827586207,-0.034482758620689655 -0.9111111111111111,0.06666666666666667,-0.022222222222222223 -0.5862068965517241,0.27586206896551724,-0.13793103448275862 -0.044444444444444446,0.15555555555555556,-0.13333333333333333,0.2222222222222222,-0.3111111111111111,0.13333333333333333 0.6363636363636364 0.9777777777777777 0.836038961038961
3 -0.3448275862068966,0.3103448275862069,-0.3448275862068966 -0.6086956521739131,0.17391304347826086,-0.21739130434782608 -0.3103448275862069,0.3103448275862069,-0.3793103448275862 -0.8043478260869565,0.08695652173913043,-0.10869565217391304 -0.41379310344827586,0.41379310344827586,-0.1724137931034483 -0.043478260869565216,0.391304347826087,-0.043478260869565216,0.13043478260869565,-0.13043478260869565,0.21739130434782608,-0.043478260869565216 0.6222222222222222 1.0 0.7753968253968254
4 -0.5714285714285714,0.21428571428571427,-0.21428571428571427 -0.6,0.13333333333333333,-0.2,0.044444444444444446,-0.022222222222222223 -0.42857142857142855,0.5357142857142857,-0.03571428571428571 -0.6,0.15555555555555556,-0.24444444444444444 -0.10714285714285714,0.17857142857142858,-0.35714285714285715,0.17857142857142858,-0.17857142857142858 -0.022222222222222223,0.9777777777777777 0.6136363636363636 0.9777777777777777 0.8627946127946128
5 -0.10344827586206896,0.7586206896551724,-0.13793103448275862 -0.5869565217391305,0.17391304347826086,-0.2391304347826087 -0.2413793103448276,0.3793103448275862,-0.3793103448275862 -0.8478260869565217,0.08695652173913043,-0.06521739130434782 -0.10344827586206896,0.10344827586206896,-0.4827586206896552,0.2413793103448276,-0.06896551724137931 0.13043478260869565,-0.2608695652173913,0.1956521739130435,-0.15217391304347827,0.1956521739130435,-0.06521739130434782 0.6222222222222222 1.0 0.8388888888888889
6 -0.6206896551724138,0.3448275862068966,-0.034482758620689655 -0.021739130434782608,0.021739130434782608,-0.5434782608695652,0.1956521739130435,-0.21739130434782608 -0.41379310344827586,0.2413793103448276,-0.3448275862068966 -0.43478260869565216,0.2608695652173913,-0.30434782608695654 0.41379310344827586,-0.1724137931034483,0.3103448275862069,-0.10344827586206896 0.08695652173913043,-0.32608695652173914,0.1956521739130435,-0.17391304347826086,0.17391304347826086,-0.043478260869565216 0.6222222222222222 1.0 0.8753968253968254
7 -0.03571428571428571,0.9642857142857143 0.13043478260869565,-0.8695652173913043 -0.32142857142857145,0.21428571428571427,-0.4642857142857143 -0.043478260869565216,0.13043478260869565,-0.8260869565217391 -0.6071428571428571,0.17857142857142858,-0.21428571428571427 0.13043478260869565,-0.021739130434782608,0.30434782608695654,-0.5434782608695652 0.6 1.0 0.6263374485596708
8 -0.3448275862068966,0.3103448275862069,-0.3448275862068966 -0.1956521739130435,0.15217391304347827,-0.30434782608695654,0.15217391304347827,-0.1956521739130435 -0.3448275862068966,0.3103448275862069,-0.3448275862068966 -0.1956521739130435,0.15217391304347827,-0.30434782608695654,0.15217391304347827,-0.1956521739130435 -0.2413793103448276,0.5172413793103449,-0.2413793103448276 -0.043478260869565216,0.15217391304347827,-0.15217391304347827,0.13043478260869565,-0.021739130434782608,0.15217391304347827,-0.15217391304347827,0.15217391304347827,-0.043478260869565216 0.6222222222222222 1.0 0.9833333333333333
9 -0.32142857142857145,0.2857142857142857,-0.39285714285714285 -0.3111111111111111,0.26666666666666666,-0.4222222222222222 -0.07142857142857142,0.32142857142857145,-0.6071428571428571 -0.2222222222222222,0.17777777777777778,-0.6 -0.10714285714285714,0.2857142857142857,-0.21428571428571427,0.39285714285714285 -0.08888888888888889,0.4222222222222222,-0.022222222222222223,0.28888888888888886,-0.17777777777777778 0.6136363636363636 0.9777777777777777 0.8855218855218855
0 -0.3793103448275862,0.2413793103448276,-0.3793103448275862 -0.35555555555555557,0.28888888888888886,-0.35555555555555557 -0.3793103448275862,0.2413793103448276,-0.3793103448275862 -0.35555555555555557,0.28888888888888886,-0.35555555555555557 0.20689655172413793,-0.5862068965517241,0.20689655172413793 -0.06666666666666667,0.26666666666666666,-0.3333333333333333,0.26666666666666666,-0.06666666666666667 0.6363636363636364 0.9777777777777777 0.8733766233766234
A -0.18181818181818182,0.38636363636363635,-0.4318181818181818 -0.9285714285714286,0.047619047619047616,-0.023809523809523808 -0.022727272727272728,0.3409090909090909,-0.2727272727272727,0.3409090909090909,-0.022727272727272728 -0.9285714285714286,0.047619047619047616,-0.023809523809523808 -0.22727272727272727,0.13636363636363635,-0.2727272727272727,0.11363636363636363,-0.25 0.19047619047619047,-0.38095238095238093,0.09523809523809523,-0.3333333333333333 1.048780487804878 0.9111111111111111 0.7146908678389109
