### Filename
### ref/Helvetica/numbers-generated.png-ref.txt
1 -0.7222222222222222,0.2777777777777778 1.0 -0.6666666666666666,0.3333333333333333 -0.2,0.1,-0.7 -0.6666666666666666,0.3333333333333333 -1.0 0.3469387755102041 0.9607843137254902 0.8871548619447779
2 -0.37142857142857144,0.2857142857142857,-0.34285714285714286 -0.21568627450980393,0.17647058823529413,-0.5098039215686274,0.09803921568627451 1.0 -0.9215686274509803,0.0784313725490196 -0.6,0.3142857142857143,-0.08571428571428572 -0.0196078431372549,0.11764705882352941,-0.3137254901960784,0.13725490196078433,-0.3137254901960784,0.09803921568627451 0.68 0.9803921568627451 0.8088235294117647
3 -0.34285714285714286,0.2857142857142857,-0.37142857142857144 -0.6153846153846154,0.15384615384615385,-0.23076923076923078 -0.34285714285714286,0.2857142857142857,-0.37142857142857144 -0.6730769230769231,0.09615384615384616,-0.23076923076923078 -0.4,0.4857142857142857,-0.11428571428571428 -0.038461538461538464,0.11538461538461539,-0.21153846153846154,0.19230769230769232,-0.28846153846153844,0.11538461538461539,-0.038461538461538464 0.6666666666666666 1.0 0.7860438292964245
4 -0.6666666666666666,0.1388888888888889,-0.19444444444444445 -0.66,0.1,-0.24 -0.6388888888888888,0.16666666666666666,-0.19444444444444445 -0.64,0.12,-0.24 -0.16666666666666666,0.16666666666666666,-0.3055555555555556,0.16666666666666666,-0.19444444444444445 1.0 0.7142857142857143 0.9607843137254902 0.7166180758017493
5 -0.17142857142857143,0.7428571428571429,-0.08571428571428572 -0.5686274509803921,0.17647058823529413,-0.2549019607843137 -0.34285714285714286,0.2857142857142857,-0.37142857142857144 -0.7450980392156863,0.058823529411764705,-0.19607843137254902 -0.05714285714285714,0.2,-0.45714285714285713,0.22857142857142856,-0.05714285714285714 0.09803921568627451,-0.27450980392156865,0.13725490196078433,-0.3333333333333333,0.11764705882352941,-0.0392156862745098 0.68 0.9803921568627451 0.7552941176470588
6 -0.4,0.2857142857142857,-0.3142857142857143 -0.5769230769230769,0.17307692307692307,-0.25 -0.37142857142857144,0.2571428571428571,-0.37142857142857144 -0.40384615384615385,0.28846153846153844,-0.3076923076923077 0.2857142857142857,-0.42857142857142855,0.22857142857142856,-0.05714285714285714 -0.019230769230769232,0.1346153846153846,-0.21153846153846154,0.1346153846153846,-0.34615384615384615,0.11538461538461539,-0.038461538461538464 0.6666666666666666 1.0 0.8679354094579008
7 1.0 0.1,-0.9 -0.2,0.17142857142857143,-0.6285714285714286 0.1,-0.9 -0.42857142857142855,0.2,-0.37142857142857144 0.1,-0.08,0.2,-0.62 0.6938775510204082 0.9607843137254902 0.5456182472989196
8 -0.37142857142857144,0.2571428571428571,-0.37142857142857144 -0.6153846153846154,0.15384615384615385,-0.23076923076923078 -0.37142857142857144,0.2857142857142857,-0.34285714285714286 -0.6346153846153846,0.15384615384615385,-0.21153846153846154 -0.17142857142857143,0.6857142857142857,-0.14285714285714285 -0.038461538461538464,0.1346153846153846,-0.17307692307692307,0.21153846153846154,-0.3076923076923077,0.11538461538461539,-0.019230769230769232 0.6666666666666666 1.0 0.9290657439446367
9 -0.35294117647058826,0.2647058823529412,-0.38235294117647056 -0.3269230769230769,0.2692307692307692,-0.40384615384615385 -0.3235294117647059,0.2647058823529412,-0.4117647058823529 -0.25,0.17307692307692307,-0.5769230769230769 -0.058823529411764705,0.17647058823529413,-0.5,0.2647058823529412 -0.038461538461538464,0.1346153846153846,-0.3076923076923077,0.1346153846153846,-0.17307692307692307,0.15384615384615385,-0.057692307692307696 0.6470588235294118 1.0 0.8686868686868687
0 -0.37142857142857144,0.2571428571428571,-0.37142857142857144 -0.34615384615384615,0.28846153846153844,-0.36538461538461536 -0.37142857142857144,0.22857142857142856,-0.4 -0.36538461538461536,0.28846153846153844,-0.34615384615384615 0.17142857142857143,-0.6571428571428571,0.17142857142857143 -0.038461538461538464,0.1346153846153846,-0.6538461538461539,0.1346153846153846,-0.038461538461538464 0.6666666666666666 1.0 0.7866205305651672
A -0.45454545454545453,0.13636363636363635,-0.4090909090909091 -0.9615384615384616,0.038461538461538464 0.1590909090909091,-0.7045454545454546,0.13636363636363635 -0.9807692307692307,0.019230769230769232 -0.22727272727272727,0.13636363636363635,-0.29545454545454547,0.13636363636363635,-0.20454545454545456 0.3076923076923077,-0.28846153846153844,0.09615384615384616,-0.3076923076923077 0.8431372549019608 1.0 0.6274509803921569
