### Filename
### ref/Lucida Sans Regular/numbers-generated.png-ref.txt
1 -0.5555555555555556,0.07407407407407407,-0.37037037037037035 -0.9056603773584906,0.09433962264150944 1.0 -0.07547169811320754,0.09433962264150944,-0.7358490566037735,0.09433962264150944 -0.37037037037037035,0.25925925925925924,-0.37037037037037035 -0.9056603773584906,0.09433962264150944 0.5 0.9811320754716981 0.764792899408284
2 -0.3125,0.3125,-0.375 -0.18867924528301888,0.1509433962264151,-0.5471698113207547,0.11320754716981132 1.0 -0.8679245283018868,0.1320754716981132 -0.59375,0.21875,-0.1875 -0.05660377358490566,0.4339622641509434,-0.39622641509433965,0.11320754716981132 0.5961538461538461 0.9811320754716981 0.7419354838709677
3 -0.26666666666666666,0.3333333333333333,-0.4 -0.6481481481481481,0.14814814814814814,-0.2037037037037037 -0.26666666666666666,0.3,-0.43333333333333335 -0.8518518518518519,0.09259259259259259,-0.05555555555555555 -0.16666666666666666,0.5666666666666667,-0.26666666666666666 -0.1111111111111111,0.2222222222222222,-0.2037037037037037,0.37037037037037035,-0.09259259259259259 0.5471698113207547 1.0 0.7807417046193884
4 -0.6216216216216216,0.1891891891891892,-0.1891891891891892 -0.5961538461538461,0.11538461538461539,-0.28846153846153844 -0.6216216216216216,0.1891891891891892,-0.1891891891891892 -0.5961538461538461,0.11538461538461539,-0.28846153846153844 -0.13513513513513514,0.16216216216216217,-0.32432432432432434,0.1891891891891892,-0.1891891891891892 1.0 0.7058823529411765 0.9622641509433962 0.7652505446623094
5 -0.034482758620689655,0.9310344827586207,-0.034482758620689655 -0.6226415094339622,0.1509433962264151,-0.22641509433962265 -0.1724137931034483,0.3448275862068966,-0.4827586206896552 -0.8679245283018868,0.09433962264150944,-0.03773584905660377 -0.5172413793103449,0.3448275862068966,-0.13793103448275862 0.11320754716981132,-0.41509433962264153,0.33962264150943394,-0.1320754716981132 0.5384615384615384 0.9811320754716981 0.8372252747252747
6 -0.4444444444444444,0.2777777777777778,-0.2777777777777778 -0.5740740740740741,0.16666666666666666,-0.25925925925925924 -0.3888888888888889,0.25,-0.3611111111111111 -0.3888888888888889,0.25925925925925924,-0.35185185185185186 0.3333333333333333,-0.3333333333333333,0.25,-0.08333333333333333 -0.018518518518518517,0.09259259259259259,-0.2777777777777778,0.14814814814814814,-0.2962962962962963,0.12962962962962962,-0.037037037037037035 0.660377358490566 1.0 0.8415094339622642
7 1.0 0.1346153846153846,-0.8653846153846154 -0.08823529411764706,0.20588235294117646,-0.7058823529411765 0.11538461538461539,-0.8846153846153846 -0.4411764705882353,0.17647058823529413,-0.38235294117647056 0.11538461538461539,-0.057692307692307696,0.17307692307692307,-0.6538461538461539 0.6470588235294118 0.9622641509433962 0.5811051693404634
8 -0.4,0.2571428571428571,-0.34285714285714286 -0.6666666666666666,0.12962962962962962,-0.2037037037037037 -0.34285714285714286,0.2857142857142857,-0.37142857142857144 -0.6666666666666666,0.14814814814814814,-0.18518518518518517 -0.22857142857142856,0.5428571428571428,-0.22857142857142856 -0.037037037037037035,0.3888888888888889,-0.05555555555555555,0.18518518518518517,-0.16666666666666666,0.12962962962962962,-0.037037037037037035 0.6415094339622641 1.0 0.9961154273029966
9 -0.3611111111111111,0.25,-0.3888888888888889 -0.3333333333333333,0.25925925925925924,-0.4074074074074074 -0.25,0.2777777777777778,-0.4722222222222222 -0.25925925925925924,0.16666666666666666,-0.5740740740740741 -0.05555555555555555,0.2222222222222222,-0.4444444444444444,0.2777777777777778 -0.037037037037037035,0.14814814814814814,-0.2962962962962963,0.09259259259259259,-0.18518518518518517,0.16666666666666666,-0.07407407407407407 0.660377358490566 1.0 0.8339622641509434
0 -0.3888888888888889,0.2222222222222222,-0.3888888888888889 -0.37037037037037035,0.25925925925925924,-0.37037037037037035 -0.3888888888888889,0.2222222222222222,-0.3888888888888889 -0.37037037037037035,0.25925925925925924,-0.37037037037037035 0.19444444444444445,-0.6111111111111112,0.19444444444444445 -0.05555555555555555,0.14814814814814814,-0.5925925925925926,0.14814814814814814,-0.05555555555555555 0.660377358490566 1.0 0.8204851752021564
A -0.4375,0.125,-0.4375 -0.9807692307692307,0.019230769230769232 0.14583333333333334,-0.6875,0.16666666666666666 -0.9807692307692307,0.019230769230769232 -0.22916666666666666,0.125,-0.2708333333333333,0.14583333333333334,-0.22916666666666666 0.28846153846153844,-0.3269230769230769,0.11538461538461539,-0.2692307692307692 0.9215686274509803 0.9622641509433962 0.672090112640801
