### Filename
### ref/Tahoma/numbers-generated.png-ref.txt
1 -0.4,0.24,-0.36 -0.9038461538461539,0.09615384615384616 1.0 -0.1346153846153846,0.09615384615384616,-0.6730769230769231,0.09615384615384616 -0.36,0.28,-0.36 -1.0 0.47058823529411764 0.9622641509433962 0.815359477124183
2 -0.3125,0.28125,-0.40625 -0.8867924528301887,0.11320754716981132 1.0 -0.8490566037735849,0.1509433962264151 -0.5625,0.25,-0.1875 -0.09433962264150944,0.39622641509433965,-0.39622641509433965,0.11320754716981132 0.5961538461538461 0.9811320754716981 0.8045905707196029
3 -0.3125,0.3125,-0.375 -0.6111111111111112,0.16666666666666666,-0.2222222222222222 -0.28125,0.3125,-0.40625 -0.7962962962962963,0.14814814814814814,-0.05555555555555555 -0.34375,0.46875,-0.1875 -0.05555555555555555,0.35185185185185186,-0.09259259259259259,0.42592592592592593,-0.07407407407407407 0.5849056603773585 1.0 0.8119293974437005
4 -0.6388888888888888,0.19444444444444445,-0.16666666666666666 -0.5384615384615384,0.11538461538461539,-0.34615384615384615 -0.6388888888888888,0.19444444444444445,-0.16666666666666666 -0.5,0.15384615384615385,-0.34615384615384615 -0.027777777777777776,0.16666666666666666,-0.4444444444444444,0.19444444444444445,-0.16666666666666666 1.0 0.6862745098039216 0.9622641509433962 0.769187675070028
5 -0.06451612903225806,0.9354838709677419 0.11320754716981132,-0.4716981132075472,0.16981132075471697,-0.24528301886792453 -0.25806451612903225,0.3225806451612903,-0.41935483870967744 -0.8113207547169812,0.1320754716981132,-0.05660377358490566 -0.06451612903225806,0.0967741935483871,-0.3870967741935484,0.3870967741935484,-0.06451612903225806 0.11320754716981132,-0.33962264150943394,0.4528301886792453,-0.09433962264150944 0.5769230769230769 0.9811320754716981 0.9108974358974359
6 -0.5294117647058824,0.29411764705882354,-0.17647058823529413 -0.5740740740740741,0.18518518518518517,-0.24074074074074073 -0.38235294117647056,0.2647058823529412,-0.35294117647058826 -0.42592592592592593,0.25925925925925924,-0.3148148148148148 0.38235294117647056,-0.23529411764705882,0.3235294117647059,-0.058823529411764705 0.1111111111111111,-0.2962962962962963,0.18518518518518517,-0.16666666666666666,0.18518518518518517,-0.05555555555555555 0.6226415094339622 1.0 0.9176672384219554
7 1.0 0.17307692307692307,-0.8269230769230769 -0.09090909090909091,0.24242424242424243,-0.6666666666666666 0.11538461538461539,-0.8846153846153846 -0.48484848484848486,0.24242424242424243,-0.2727272727272727 0.11538461538461539,-0.019230769230769232,0.3076923076923077,-0.5576923076923077 0.6274509803921569 0.9622641509433962 0.6734068627450981
8 -0.35294117647058826,0.29411764705882354,-0.35294117647058826 -0.6481481481481481,0.12962962962962962,-0.2222222222222222 -0.35294117647058826,0.29411764705882354,-0.35294117647058826 -0.6481481481481481,0.14814814814814814,-0.2037037037037037 -0.20588235294117646,0.5882352941176471,-0.20588235294117646 -0.037037037037037035,0.4074074074074074,-0.037037037037037035,0.18518518518518517,-0.12962962962962962,0.16666666666666666,-0.037037037037037035 0.6226415094339622 1.0 1.0051457975986278
9 -0.38235294117647056,0.23529411764705882,-0.38235294117647056 -0.3148148148148148,0.25925925925925924,-0.42592592592592593 -0.17647058823529413,0.29411764705882354,-0.5294117647058824 -0.24074074074074073,0.18518518518518517,-0.5740740740740741 -0.058823529411764705,0.2647058823529412,-0.38235294117647056,0.29411764705882354 -0.05555555555555555,0.24074074074074073,-0.16666666666666666,0.1111111111111111,-0.037037037037037035,0.2777777777777778,-0.1111111111111111 0.6226415094339622 1.0 0.9108061749571184
0 -0.36363636363636365,0.2727272727272727,-0.36363636363636365 -0.3333333333333333,0.3333333333333333,-0.3333333333333333 -0.36363636363636365,0.2727272727272727,-0.36363636363636365 -0.3333333333333333,0.3333333333333333,-0.3333333333333333 0.21212121212121213,-0.5757575757575758,0.21212121212121213 -0.07407407407407407,0.8518518518518519,-0.07407407407407407 0.6037735849056604 1.0 0.9392688679245284
A -0.3953488372093023,0.20930232558139536,-0.3953488372093023 -0.9615384615384616,0.038461538461538464 0.18604651162790697,-0.627906976744186,0.18604651162790697 -0.9615384615384616,0.038461538461538464 -0.20930232558139536,0.16279069767441862,-0.2558139534883721,0.16279069767441862,-0.20930232558139536 0.38461538461538464,-0.23076923076923078,0.11538461538461539,-0.2692307692307692 0.8235294117647058 0.9622641509433962 0.7735760971055089
