### Filename
### ref/TrebuchetMS/numbers-generated.png-ref.txt
1 -0.8235294117647058,0.17647058823529413 1.0 -0.5882352941176471,0.4117647058823529 -0.23076923076923078,0.1346153846153846,-0.6346153846153846 -0.5882352941176471,0.4117647058823529 -1.0 0.3137254901960784 0.9807692307692307 1.0379901960784315
2 -0.28125,0.28125,-0.4375 -0.8846153846153846,0.11538461538461539 1.0 -0.11538461538461539,0.038461538461538464,-0.8076923076923077,0.038461538461538464 -0.53125,0.25,-0.21875 -0.07692307692307693,0.38461538461538464,-0.4230769230769231,0.11538461538461539 0.6078431372549019 0.9807692307692307 0.7881087919038583
3 -0.2413793103448276,0.3448275862068966,-0.41379310344827586 -0.6415094339622641,0.1509433962264151,-0.20754716981132076 -0.27586206896551724,0.3103448275862069,-0.41379310344827586 -0.9056603773584906,0.018867924528301886,-0.07547169811320754 -0.3793103448275862,0.41379310344827586,-0.20689655172413793 -0.16981132075471697,0.1320754716981132,-0.2641509433962264,0.32075471698113206,-0.11320754716981132 0.5384615384615384 1.0 0.7898351648351648
4 -0.8,0.05714285714285714,-0.14285714285714285 -0.6346153846153846,0.09615384615384616,-0.2692307692307692 -0.6571428571428571,0.2,-0.14285714285714285 -0.6346153846153846,0.09615384615384616,-0.2692307692307692 -0.2,0.2,-0.2571428571428571,0.2,-0.14285714285714285 -0.057692307692307696,0.9423076923076923 0.6666666666666666 0.9807692307692307 0.7450980392156863
5 -0.034482758620689655,0.896551724137931,-0.06896551724137931 -0.5283018867924528,0.22641509433962265,-0.24528301886792453 -0.2413793103448276,0.3448275862068966,-0.41379310344827586 -0.9056603773584906,0.018867924528301886,-0.07547169811320754 -0.10344827586206896,0.034482758620689655,-0.5517241379310345,0.27586206896551724,-0.034482758620689655 0.11320754716981132,-0.32075471698113206,0.4339622641509434,-0.1320754716981132 0.5384615384615384 1.0 0.945054945054945
6 -0.5806451612903226,0.06451612903225806,-0.3548387096774194 -0.5849056603773585,0.18867924528301888,-0.22641509433962265 -0.3870967741935484,0.25806451612903225,-0.3548387096774194 -0.4716981132075472,0.24528301886792453,-0.2830188679245283 0.3870967741935484,-0.1935483870967742,0.3548387096774194,-0.06451612903225806 -0.4528301886792453,0.4716981132075472,-0.07547169811320754 0.5769230769230769 1.0 0.9288461538461539
7 1.0 0.07692307692307693,-0.9230769230769231 -0.12121212121212122,0.24242424242424243,-0.6363636363636364 0.1346153846153846,-0.8653846153846154 -0.42424242424242425,0.24242424242424243,-0.3333333333333333 0.34615384615384615,-0.6538461538461539 0.6274509803921569 0.9807692307692307 0.6954656862745098
8 -0.375,0.28125,-0.34375 -0.6415094339622641,0.1509433962264151,-0.20754716981132076 -0.34375,0.3125,-0.34375 -0.660377358490566,0.1509433962264151,-0.18867924528301888 -0.15625,0.65625,-0.1875 -0.07547169811320754,0.32075471698113206,-0.11320754716981132,0.4339622641509434,-0.05660377358490566 0.5961538461538461 1.0 1.1011166253101736
9 -0.34375,0.28125,-0.375 -0.2830188679245283,0.22641509433962265,-0.49056603773584906 -0.34375,0.0625,-0.59375 -0.22641509433962265,0.16981132075471697,-0.6037735849056604 -0.09375,0.3125,-0.1875,0.40625 -0.07547169811320754,0.660377358490566,-0.2641509433962264 0.5961538461538461 1.0 0.9050868486352357
0 -0.38235294117647056,0.2647058823529412,-0.35294117647058826 -0.32075471698113206,0.32075471698113206,-0.3584905660377358 -0.38235294117647056,0.23529411764705882,-0.38235294117647056 -0.33962264150943394,0.32075471698113206,-0.33962264150943394 0.20588235294117646,-0.5882352941176471,0.20588235294117646 -0.05660377358490566,0.24528301886792453,-0.3584905660377358,0.2830188679245283,-0.05660377358490566 0.6346153846153846 1.0 0.932983682983683
A -0.4883720930232558,0.046511627906976744,-0.46511627906976744 -0.9807692307692307,0.019230769230769232 0.18604651162790697,-0.627906976744186,0.18604651162790697 -0.9807692307692307,0.019230769230769232 -0.2558139534883721,0.13953488372093023,-0.20930232558139536,0.16279069767441862,-0.23255813953488372 -0.11538461538461539,0.36538461538461536,-0.21153846153846154,0.09615384615384616,-0.21153846153846154 0.8235294117647058 0.9807692307692307 0.6979458450046685
