### Filename
### ref/Verdana/numbers-generated.png-ref.txt
1 -0.41379310344827586,0.20689655172413793,-0.3793103448275862 -0.9038461538461539,0.09615384615384616 1.0 -0.1346153846153846,0.09615384615384616,-0.6730769230769231,0.09615384615384616 -0.3793103448275862,0.2413793103448276,-0.3793103448275862 -0.9038461538461539,0.09615384615384616 0.5490196078431373 0.9622641509433962 0.7450980392156863
2 -0.2857142857142857,0.3142857142857143,-0.4 -0.8867924528301887,0.11320754716981132 1.0 -0.8490566037735849,0.1509433962264151 -0.6,0.22857142857142856,-0.17142857142857143 -0.05660377358490566,0.49056603773584906,-0.33962264150943394,0.11320754716981132 0.6538461538461539 0.9811320754716981 0.7845022624434389
3 -0.3142857142857143,0.34285714285714286,-0.34285714285714286 -0.6296296296296297,0.14814814814814814,-0.2222222222222222 -0.2857142857142857,0.3142857142857143,-0.4 -0.7962962962962963,0.14814814814814814,-0.05555555555555555 -0.34285714285714286,0.45714285714285713,-0.2 -0.037037037037037035,0.16666666666666666,-0.09259259259259259,0.12962962962962962,-0.05555555555555555,0.1111111111111111,-0.2037037037037037,0.16666666666666666,-0.037037037037037035 0.6415094339622641 1.0 0.7819089900110988
4 -0.625,0.175,-0.2 -0.5961538461538461,0.11538461538461539,-0.28846153846153844 -0.625,0.175,-0.2 -0.5384615384615384,0.17307692307692307,-0.28846153846153844 -0.075,0.175,-0.375,0.175,-0.2 1.0 0.7647058823529411 0.9622641509433962 0.7405731523378583
5 -0.058823529411764705,0.9411764705882353 0.1111111111111111,-0.46296296296296297,0.16666666666666666,-0.25925925925925924 -0.2647058823529412,0.3235294117647059,-0.4117647058823529 -0.8148148148148148,0.12962962962962962,-0.05555555555555555 -0.058823529411764705,0.11764705882352941,-0.38235294117647056,0.35294117647058826,-0.08823529411764706 0.1111111111111111,-0.2962962962962963,0.2037037037037037,-0.12962962962962962,0.2037037037037037,-0.05555555555555555 0.6226415094339622 1.0 0.8770726129216695
6 -0.5405405405405406,0.2972972972972973,-0.16216216216216217 -0.5925925925925926,0.16666666666666666,-0.24074074074074073 -0.3783783783783784,0.24324324324324326,-0.3783783783783784 -0.42592592592592593,0.25925925925925924,-0.3148148148148148 0.35135135135135137,-0.2702702702702703,0.2972972972972973,-0.08108108108108109 0.1111111111111111,-0.2777777777777778,0.12962962962962962,-0.3333333333333333,0.1111111111111111,-0.037037037037037035 0.6792452830188679 1.0 0.8825995807127882
7 1.0 0.17307692307692307,-0.8269230769230769 -0.1388888888888889,0.2222222222222222,-0.6388888888888888 0.11538461538461539,-0.8846153846153846 -0.5277777777777778,0.2222222222222222,-0.25 0.11538461538461539,-0.15384615384615385,0.2692307692307692,-0.46153846153846156 0.6862745098039216 0.9622641509433962 0.6184873949579832
8 -0.3684210526315789,0.2894736842105263,-0.34210526315789475 -0.6481481481481481,0.12962962962962962,-0.2222222222222222 -0.3684210526315789,0.2631578947368421,-0.3684210526315789 -0.6481481481481481,0.12962962962962962,-0.2222222222222222 -0.18421052631578946,0.6052631578947368,-0.21052631578947367 -0.018518518518518517,0.1111111111111111,-0.25925925925925924,0.2037037037037037,-0.2777777777777778,0.1111111111111111,-0.018518518518518517 0.6981132075471698 1.0 0.9495155532891382
9 -0.3783783783783784,0.24324324324324326,-0.3783783783783784 -0.3148148148148148,0.25925925925925924,-0.42592592592592593 -0.16216216216216217,0.2972972972972973,-0.5405405405405406 -0.24074074074074073,0.16666666666666666,-0.5925925925925926 -0.05405405405405406,0.2702702702702703,-0.40540540540540543,0.2702702702702703 -0.037037037037037035,0.14814814814814814,-0.3148148148148148,0.09259259259259259,-0.16666666666666666,0.16666666666666666,-0.07407407407407407 0.6792452830188679 1.0 0.8836477987421384
0 -0.3611111111111111,0.2777777777777778,-0.3611111111111111 -0.35185185185185186,0.2962962962962963,-0.35185185185185186 -0.3611111111111111,0.2777777777777778,-0.3611111111111111 -0.35185185185185186,0.2962962962962963,-0.35185185185185186 0.19444444444444445,-0.6111111111111112,0.19444444444444445 -0.037037037037037035,0.16666666666666666,-0.5925925925925926,0.16666666666666666,-0.037037037037037035 0.660377358490566 1.0 0.8986522911051213
A -0.40425531914893614,0.19148936170212766,-0.40425531914893614 -0.9807692307692307,0.019230769230769232 0.1702127659574468,-0.6595744680851063,0.1702127659574468 -0.9807692307692307,0.019230769230769232 -0.2127659574468085,0.14893617021276595,-0.2765957446808511,0.14893617021276595,-0.2127659574468085 0.23076923076923078,-0.38461538461538464,0.11538461538461539,-0.2692307692307692 0.9019607843137255 0.9622641509433962 0.722080136402387
